HR,Name,B-V,Vmag,x,y,z
133,,0.0,6.67,0.8774224994841808,0.4629952579127151,-0.12555934273988228
134,,1.0,6.3,0.8716269754183413,0.4737851050652423,-0.12567453975006898
135,,1.04,5.93,0.5690628282686122,0.8180995356354818,-0.08294966712372656
136,Bet3Tuc,0.04,5.09,0.4488898124303118,-0.8912529057262758,-0.06454606363481499
137,16    Cas,-0.08,6.48,0.39029723835655505,0.9187931239103216,-0.059053037062956254
138,,1.27,5.55,0.8604752136150422,-0.49330942147324996,-0.12739003665858237
139,The Tuc,0.23,6.13,0.31777094101077663,-0.9470204782427988,-0.04662448753505108
140,,0.47,5.57,0.6036280060963949,-0.792002623235844,-0.09146078418443813
141,,0.91,6.4,0.9616201321051474,0.23125739440042398,-0.14767105019334548
142,13    Cet,0.56,5.2,0.9862539300014931,-0.0626647162076731,-0.15289316171504158
143,14    Cet,0.44,5.93,0.9879573812696788,-0.008823494501377576,-0.15447445982926303
144,,-0.11,5.08,0.5781392703119534,0.8107432343972636,-0.09192601374053938
145,,0.52,6.41,0.9616249097827835,0.22846414961385064,-0.15192651258576836
146,,0.29,5.79,0.48881300016496115,0.8688572170618724,-0.07841547825033145
147,Lam2Phe,0.44,5.51,0.661025066367055,-0.7431545575089638,-0.10376495211817237
148,,1.01,6.06,0.5691995939404194,-0.8173656135915279,-0.08902401909713327
149,,-0.09,6.5,0.8778313962559544,0.45794718486615404,-0.14034391907199317
150,,1.06,6.45,0.9541183201938527,-0.25837413831418726,-0.15133088158357505
151,,0.29,6.06,0.9101568748464178,-0.3881992855389566,-0.14462288158118572
152,,1.6,5.13,0.7042245092432309,0.7007674750879088,-0.11398590456739718
153,17Zet Cas,-0.2,3.66,0.5815888974887001,0.8079584611990297,-0.0946439606883301
154,29Pi  And,-0.14,4.36,0.8210187231509304,0.5551267354097145,-0.13327626896401681
155,53    Psc,-0.15,5.89,0.9524674396444817,0.2627224912159688,-0.15421630596782177
156,,0.91,6.47,0.901489756593308,0.4069625093020237,-0.14730150976802184
157,,0.88,5.48,0.8043317175069892,0.5792732686133031,-0.1322609862443076
158,,0.55,6.4,0.12866824072952218,0.9914309339400059,-0.022565173485203514
159,,0.72,5.57,0.8959890349296561,-0.4189326923658956,-0.1473059691692268
160,,1.26,6.42,0.41528505994906123,-0.9072256001408155,-0.06693302198647322
161,,1.33,6.39,0.9851605937327015,0.054693615078567286,-0.16268747040220566
162,,1.0,6.41,0.574511278351732,-0.8130414903852464,-0.09434153888291177
163,30Eps And,0.87,4.37,0.8596600308952885,0.48956001387021986,-0.1459987126672752
164,,1.64,5.43,0.6418896585874041,0.7587536404332754,-0.11077264701990998
165,31Del And,1.28,3.27,0.8458077170109785,0.5129545698532445,-0.1465841570953336
166,54    Psc,0.85,5.87,0.9182911634732744,0.36244707526998227,-0.15929047904735452
167,55    Psc,1.16,5.36,0.9167220433925298,0.3654996188927959,-0.1613403971342755
168,18Alp Cas,1.17,2.23,0.5428044951417726,0.8342442121191803,-0.09695295044264136
169,,0.11,6.85,0.28595894460562316,-0.9570022369116542,-0.04872576881002688
